"행정구역","2025년06월_남_총인구수","2025년06월_남_연령구간인구수","2025년06월_남_0~9세","2025년06월_남_10~19세","2025년06월_남_20~29세","2025년06월_남_30~39세","2025년06월_남_40~49세","2025년06월_남_50~59세","2025년06월_남_60~69세","2025년06월_남_70~79세","2025년06월_남_80~89세","2025년06월_남_90~99세","2025년06월_남_100세 이상","2025년06월_여_총인구수","2025년06월_여_연령구간인구수","2025년06월_여_0~9세","2025년06월_여_10~19세","2025년06월_여_20~29세","2025년06월_여_30~39세","2025년06월_여_40~49세","2025년06월_여_50~59세","2025년06월_여_60~69세","2025년06월_여_70~79세","2025년06월_여_80~89세","2025년06월_여_90~99세","2025년06월_여_100세 이상"
"경상북도 의성군 안계면(4773043000)","2,051","2,051","89","110","127","185","229","354","430","338","174","15","0","2,192","2,192","93","105","113","132","181","300","469","391","335","72","1"
"경상북도 의성군 다인면(4773044000)","1,750","1,750","39","35","67","107","134","293","495","344","216","20","0","1,804","1,804","36","44","55","66","64","203","440","413","401","80","2"
"경상북도 의성군 신평면(4773045000)","407","407","3","13","6","16","17","78","129","80","59","6","0","394","394","6","5","7","9","15","49","97","78","106","22","0"
"경상북도 의성군 안평면(4773046000)","1,065","1,065","13","26","25","40","72","170","351","222","131","15","0","986","986","11","17","18","22","34","99","290","230","206","57","2"
"경상북도 의성군 안사면(4773047000)","425","425","4","7","19","19","33","69","143","80","46","5","0","426","426","6","10","10","15","18","46","100","93","106","21","1"
"경상북도 청송군 (4775000000)","11,842","11,842","379","528","708","874","1,076","2,103","3,093","1,992","974","114","1","11,710","11,710","341","499","524","561","830","1,693","2,905","2,139","1,834","377","7"
"경상북도 청송군 청송읍(4775025000)","2,394","2,394","110","163","186","211","257","465","542","305","137","18","0","2,448","2,448","87","142","156","161","244","400","532","362","306","58","0"
"경상북도 청송군 주왕산면(4775031500)","875","875","11","29","41","44","66","161","259","170","85","9","0","886","886","14","18","22","43","40","125","247","185","157","35","0"
"경상북도 청송군 부남면(4775032000)","1,153","1,153","29","36","50","50","74","189","342","244","126","12","1","1,206","1,206","26","52","31","41","55","163","347","221","216","54","0"
"경상북도 청송군 현동면(4775033000)","1,005","1,005","35","43","54","43","98","186","265","180","87","14","0","985","985","33","45","39","39","60","166","217","190","157","37","2"
"경상북도 청송군 현서면(4775034000)","1,200","1,200","29","42","38","69","95","201","368","235","108","15","0","1,167","1,167","25","35","35","40","68","139","364","254","180","26","1"
"경상북도 청송군 안덕면(4775035000)","1,232","1,232","34","44","47","64","79","215","374","231","126","18","0","1,195","1,195","23","40","23","32","71","153","322","259","219","50","3"
"경상북도 청송군 파천면(4775036000)","843","843","18","19","31","44","67","134","268","178","72","12","0","822","822","13","25","37","30","33","99","200","162","181","41","1"
"경상북도 청송군 진보면(4775037000)","3,140","3,140","113","152","261","349","340","552","675","449","233","16","0","3,001","3,001","120","142","181","175","259","448","676","506","418","76","0"
"경상북도 영양군 (4776000000)","7,597","7,597","212","453","444","476","747","1,478","1,887","1,214","621","64","1","7,634","7,634","213","419","351","377","540","1,054","1,763","1,366","1,280","260","11"
"경상북도 영양군 영양읍(4776025000)","3,281","3,281","144","280","260","283","410","644","654","400","182","24","0","3,382","3,382","134","266","212","248","348","522","650","502","406","91","3"
"경상북도 영양군 입암면(4776031000)","966","966","18","45","42","48","95","182","259","184","80","13","0","986","986","20","36","29","29","52","108","266","216","185","45","0"
"경상북도 영양군 청기면(4776032000)","783","783","9","18","26","31","44","150","231","165","104","4","1","759","759","11","25","22","18","27","65","210","164","176","37","4"
